Rodada,chacha20,enocoro,rabbit,trivium
1,0.005714834,0.017531018,0.004250463,0.001659407
2,0.005745166,0.017452648,0.004324685,0.001678222
3,0.005776464,0.017567295,0.004323574,0.001647945
4,0.005755315,0.017430537,0.004334297,0.001645111
5,0.005794556,0.017444796,0.004247667,0.001670981
6,0.005855592,0.017534611,0.004404685,0.001645240
7,0.005765833,0.017503258,0.004346518,0.001743906
8,0.005753074,0.017482629,0.004252074,0.001743907
9,0.005731815,0.017447092,0.004257556,0.001644408
10,0.005741629,0.017476445,0.004270852,0.001672148
11,0.005727130,0.017523482,0.004286704,0.001674463
12,0.005820813,0.017657649,0.004314759,0.001676334
13,0.005760463,0.017503036,0.004280555,0.001645296
14,0.005733204,0.017563129,0.004256981,0.001644926
15,0.006020037,0.017524481,0.004308852,0.001676055
16,0.005751222,0.017553315,0.004253870,0.001648723
17,0.005723278,0.017576241,0.004340185,0.001668815
18,0.005759092,0.017493259,0.004247703,0.001670685
19,0.005719445,0.017542500,0.004334037,0.001643815
20,0.005831257,0.017605556,0.004272055,0.001646834
21,0.005715908,0.017431611,0.004266371,0.001668926
22,0.005789092,0.017537518,0.004363018,0.001671630
23,0.005783852,0.017433370,0.004356037,0.001695481
24,0.005788685,0.017441963,0.004325315,0.001644314
25,0.005727370,0.017507575,0.004360926,0.001676388
26,0.005766277,0.017509685,0.004250852,0.001668815
27,0.005751203,0.017503722,0.004326556,0.001688019
28,0.005732722,0.017482148,0.004292759,0.001742852
29,0.005730963,0.017560703,0.004272037,0.001698166
30,0.005737796,0.017622148,0.004259018,0.001690185
31,0.005721963,0.017492260,0.004354741,0.001645093
32,0.005751666,0.017559501,0.004241333,0.001645481
33,0.005713408,0.017548110,0.004330649,0.001668166
34,0.005746352,0.017475834,0.004259500,0.001645223
35,0.005832427,0.017460630,0.004333815,0.001690426
36,0.005797018,0.017505833,0.004270260,0.001677167
37,0.005774018,0.017496351,0.004332129,0.001647593
38,0.005729129,0.017480703,0.004336019,0.001676852
39,0.005756185,0.017514185,0.004288833,0.001671055
40,0.005726630,0.017649798,0.004290759,0.001671074
41,0.005726741,0.017519686,0.004311611,0.001703796
42,0.005745481,0.017500925,0.004267204,0.001670667
43,0.005788797,0.017710165,0.004343315,0.001647056
44,0.005731000,0.017453370,0.004250667,0.001644574
45,0.005766055,0.017492129,0.004327148,0.001644982
46,0.005767241,0.017572721,0.004276018,0.001648037
47,0.005730334,0.017601648,0.004251389,0.001644889
48,0.005768037,0.017462445,0.004327481,0.001695722
49,0.005777630,0.017470870,0.004256630,0.001700130
50,0.005733667,0.017491814,0.004372351,0.001672945
